iter,stepsize,mean_eval,pop_best_eval,median_eval
66,ReadOnlyTensor(0.0307),8.956018447875977,12.073026657104492,8.780598640441895
67,ReadOnlyTensor(0.0307),8.625869750976562,12.734086990356445,8.725149154663086
68,ReadOnlyTensor(0.0307),11.275375366210938,13.805635452270508,10.922892570495605
69,ReadOnlyTensor(0.0307),10.295760154724121,13.363759994506836,9.921905517578125
70,ReadOnlyTensor(0.0307),8.687196731567383,12.876810073852539,9.402288436889648
71,ReadOnlyTensor(0.0306),8.990766525268555,11.25410270690918,8.656213760375977
72,ReadOnlyTensor(0.0307),11.089674949645996,14.92758560180664,11.311768531799316
73,ReadOnlyTensor(0.0307),8.87315845489502,12.232976913452148,9.120088577270508
74,ReadOnlyTensor(0.0307),9.13085651397705,11.909539222717285,8.763544082641602
75,ReadOnlyTensor(0.0307),7.089842796325684,11.458648681640625,7.358494758605957
